,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31
avg_rating,0.0059576074176346215,0.2663736274100825,0.0778004392385854,0.16482957398184228,-0.4111632959522046,-0.4162356948389253,-0.25521366811688595,0.12776950298093537,0.13853877275328866,0.2419257944140267,-0.44342935517131016,0.29242822692358916,0.451423627914728,-0.42957883291438387,-0.07743434689454613,-0.1442800783218889,-0.2940462964589442,0.22298780496902076,-0.25477850902963406,-0.28173928072549026,0.22449841966725118,-0.2181917942479187,-0.030122439079691032,-0.1465082307156494,0.1396180806442243,0.41685534697764726,-0.4326147894025594,0.2041608376456286,0.27089581291332887,-0.5251718255732886,0.2813898144192611,-0.15166203884927462
variance,-0.33058759761559225,0.3964874230854679,0.37051709009758477,0.16668545990171973,-0.004883517826866562,-0.3501663280570524,0.23303491106905655,-0.00850033308203749,-0.4148142389861713,0.06429065708494631,-0.46187256862224996,0.2731331340276779,-0.0824258666326745,0.012239700324533493,-0.19389823041078247,-0.04587234404626366,0.08355677598765882,-0.30227045083826215,0.3883998272537851,0.19074023955696953,0.45908709033258516,0.31172987950347997,0.09614799022638619,0.21338046039794234,-0.3640483041344,-0.24306780467410272,-0.3597171337122999,-0.08147609329981993,-0.16133439213188655,-0.3120310046144562,0.33920334821489156,-0.17178725514080384
calibrated_score,-0.07023119792809562,-0.057394296775627726,-0.39031542593678276,0.32687959598145905,-0.4713621110853147,0.2438413907866954,0.3117781964117518,-0.4017492285824341,-0.33453019222370145,0.325803309550506,0.10115134900819775,0.10138182117173622,0.40261533035950897,-0.5384091185700711,0.06354137544742204,-0.19763566281829426,0.15087569136815132,0.30278598827662934,-0.3345110750226932,-0.46061974534091277,-0.014447236284223118,-0.06969993522899749,0.31500429063373636,0.06829762182431344,0.48299930380440453,0.1685119150152466,-0.495953323559415,0.36217744755764836,0.4050895782133578,-0.11551636725882207,0.4106891947941006,0.10585310523917041
llm_score,-0.06314888508950106,-0.09256887939849068,-0.36549697110501905,-0.3218823923592281,-0.252382421356919,0.10425642273368177,-0.1819904542354024,0.10885979496229461,0.35128469951417557,-0.1716931174428051,-0.05928255671986354,0.2437521273650168,-0.19323361542073197,-0.544538140231341,-0.12185887869335421,-0.4155645400786533,0.32683355092010025,0.1878725939329516,0.08343479661060878,0.18556070060080404,0.1700811539595869,-0.15882770995722412,0.1973975753511834,0.03668826255156403,0.1630810540101172,0.22030830141596044,-0.04392176772531571,-0.15217083504784074,-0.20940868188425174,0.07688849049695762,0.2674614524385485,0.3086196781867517
density_score,-0.2762629634796361,-0.015056909517758182,0.058088083397624245,-0.23136287128632427,-0.29483331295406695,-0.21459560918532947,0.34128718480990283,-0.05274274135056929,-0.01144881828955921,0.21220577342031877,-0.1842813375867976,0.4251875371688274,0.34102472970139386,-0.2798688637875647,-0.03822748558267052,-0.24293147162332596,-0.15132734676830584,-0.5226761462984069,0.10686630791261639,-0.020458676490843767,-0.37318646789693793,-0.06506872382442457,0.4523935179450355,-0.0785135729094679,-0.39478381000310314,0.011105601554083997,0.29233028469173983,-0.245177182638111,0.03035825511433282,0.049589462665239115,-0.3563681460854037,0.15694497006396144
novelty_score,-0.2037100541969157,0.1441080123384783,0.17595636295029723,0.13629595958944435,-0.1779333591456916,0.22789979326780035,-0.23855886860352868,-0.12467972481910312,-0.3469221339302135,0.1339037233423039,0.20072670023218056,-0.46180490282248565,-0.01055182830494078,-0.14790275256007795,0.1732986883191691,-0.17420156759584893,0.16021875486537845,0.043631106206167045,0.3331997953799985,-0.253055854341967,-0.047312161160936166,-0.26732224508822716,0.24821625160274874,0.17319416220270292,-0.11410061144017794,0.1563712072965687,0.19918238059128696,0.0747862152748011,0.05930339122212958,-0.15486212014023573,-0.32437768588643484,0.4200458905766671
